event_id,id,name,match_id,season,competition,team,player,outcome_id,outcome_name
cce8f359-43d3-450b-add1-f41c1523677c,4,Duel,303487,2019/2020,La Liga,Celta Vigo,Lucas René Olaza Catrofe,13,Lost In Play
e1cda74f-3264-488a-9105-3eadbb613c02,4,Duel,303666,2019/2020,La Liga,Granada,José Antonio Rodríguez Díaz,13,Lost In Play
6d8a7ae3-ced1-49b2-bea8-e887aa3ca319,4,Duel,3773665,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,16,Success In Play
53e14e75-5647-495e-86ce-5e214daecfba,4,Duel,3749493,2003/2004,Premier League,Everton,Nick Chadwick,,
7de89ec5-6b78-420e-8abc-354b9d96b7f4,4,Duel,3773377,2020/2021,La Liga,Valencia,Denis Cheryshev,,
95b0608b-29b2-456e-a77b-f95ed310c381,4,Duel,303548,2019/2020,La Liga,Mallorca,Iddrisu Baba Mohammed,16,Success In Play
588c07d9-f297-4ac5-a46f-abbd6d344406,4,Duel,3773585,2020/2021,La Liga,Real Madrid,Marco Asensio Willemsen,4,Won
d58902b9-15c2-46ac-ac49-930c46a8a012,4,Duel,15998,2018/2019,La Liga,Leganés,Mikel Vesga Arruti,16,Success In Play
6e8b1f6b-b94f-4658-977e-e5ca4a1ab5d8,4,Duel,3749196,2003/2004,Premier League,Tottenham Hotspur,Stephane Dalmat,16,Success In Play
88b046d9-0a00-40c9-a56d-09077877d2fe,4,Duel,16120,2018/2019,La Liga,Getafe,Dimitri Foulquier,,
639c7e74-2307-4db1-999c-badd42fc15a2,4,Duel,16205,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,16,Success In Play
fc21a197-5a8d-455b-8e92-4cb81d296f71,4,Duel,3749642,2003/2004,Premier League,Charlton Athletic,Mark Fish,13,Lost In Play
