event_id,id,name,match_id,season,competition,team,formation
2e8f61e9-14d8-44fd-8d90-1239545f4482,35,Starting XI,303430,2019/2020,La Liga,Villarreal,4231
70356a5b-6f08-48d8-ad07-7e75fb78f1b3,36,Tactical Shift,3749192,2003/2004,Premier League,Arsenal,41212
0987349f-bf50-4faa-b066-4a8adfbb6582,36,Tactical Shift,16265,2018/2019,La Liga,Real Sociedad,433
b4e70288-e2cf-4045-a30c-a962c2437c38,36,Tactical Shift,303504,2019/2020,La Liga,Levante UD,442
c8f248eb-d0d9-425b-8487-5111b0447113,36,Tactical Shift,16173,2018/2019,La Liga,Athletic Club,4411
7cefe4c9-a96e-462f-8798-2a7c5dba9e72,36,Tactical Shift,303504,2019/2020,La Liga,Barcelona,433
6c371eff-2eff-4cf0-8604-e53c8df77f8c,36,Tactical Shift,16289,2018/2019,La Liga,Barcelona,433
77726067-a48f-46e8-b126-64830fccbda8,36,Tactical Shift,3773415,2020/2021,La Liga,Cádiz,352
3b20dc57-5cb7-46a8-bccb-b09d984478d7,35,Starting XI,3749052,2003/2004,Premier League,Wolverhampton Wanderers,442
d4d0bacd-5c2f-4f08-8cd9-625de01abd3e,35,Starting XI,3773656,2020/2021,La Liga,Atlético Madrid,352
7da348f5-93d7-4161-97af-ccf52ed7db2a,35,Starting XI,3773587,2020/2021,La Liga,Barcelona,4231
603b492b-dd5d-4d55-811a-105510e69040,35,Starting XI,3749196,2003/2004,Premier League,Arsenal,442
c5d3e4fe-2816-407d-a111-a7f2db9fc676,35,Starting XI,303652,2019/2020,La Liga,Espanyol,442
95d24655-81f5-4f89-9743-168d329162a9,36,Tactical Shift,3773466,2020/2021,La Liga,Celta Vigo,352
c8fbeac5-1c00-4005-a8b0-c6668a919c64,36,Tactical Shift,16120,2018/2019,La Liga,Getafe,4222
fba722f6-c49f-49ad-8b42-b187a6716457,35,Starting XI,3764661,2020/2021,La Liga,Barcelona,433
ec092226-c7b9-40ae-a941-f52c97cd7ef1,36,Tactical Shift,16190,2018/2019,La Liga,Sevilla,42211
b5d3be36-dcc0-4b15-8391-8592773df6b6,36,Tactical Shift,3773597,2020/2021,La Liga,Barcelona,352
a056b560-9fd7-4bb5-8a74-7e119856d923,35,Starting XI,3749079,2003/2004,Premier League,Arsenal,442
3ca68689-d1bf-4a4a-839b-77ee6ba60015,35,Starting XI,3773585,2020/2021,La Liga,Barcelona,442
363234a0-ef56-439e-b621-c0d403474c84,36,Tactical Shift,3773369,2020/2021,La Liga,Huesca,3511
186b7ca1-6131-40ec-b27b-e0077f0d2679,36,Tactical Shift,303479,2019/2020,La Liga,Barcelona,433
5008c221-4ae6-4f3c-b45f-151026e68e6e,35,Starting XI,3773457,2020/2021,La Liga,Celta Vigo,442
0300039d-150d-41e4-b29a-76602ef002e6,35,Starting XI,15946,2018/2019,La Liga,Deportivo Alavés,451
4680407b-13c5-4bbc-ad38-0ee780b866d6,35,Starting XI,3773672,2020/2021,La Liga,Barcelona,4231
be7e94c5-422b-4ec3-8df5-31f8066f5738,36,Tactical Shift,16289,2018/2019,La Liga,Levante UD,4141
b3c71459-c476-4000-a8e1-ca4d84c8dc23,36,Tactical Shift,16289,2018/2019,La Liga,Levante UD,4141
d3b8996a-0791-49fc-9d7b-ecd3f08b1d16,35,Starting XI,3773552,2020/2021,La Liga,Barcelona,433
d06565b8-44af-4715-942a-9216e07589f7,36,Tactical Shift,3749358,2003/2004,Premier League,Arsenal,442
056aa739-017e-46bc-9fe0-0ed65a4e7b85,36,Tactical Shift,303674,2019/2020,La Liga,Sevilla,343
b245a8ec-4775-483e-8e77-c883652b8835,36,Tactical Shift,16205,2018/2019,La Liga,Barcelona,442
e207e6a8-96bb-412f-80d2-094a2c36a73a,36,Tactical Shift,16149,2018/2019,La Liga,Barcelona,433
d8588bb2-c146-4c48-a2b3-1736f9122de3,36,Tactical Shift,303680,2019/2020,La Liga,Real Valladolid,442
e57a7e6b-d0d0-47b0-831f-1365b260f64d,36,Tactical Shift,3749360,2003/2004,Premier League,Blackburn Rovers,442
604f9d94-6bc6-4655-8b0d-fb8a80049d9b,35,Starting XI,3749631,2003/2004,Premier League,Arsenal,442
a8705d9e-0ce2-4f67-91e1-3486ed7a2fc2,35,Starting XI,3764661,2020/2021,La Liga,Athletic Club,442
0363ba7c-4a9e-42cf-937a-85aa5adb07ce,36,Tactical Shift,15946,2018/2019,La Liga,Deportivo Alavés,442
8f1141b2-c153-4f8a-8e8a-06dc2b28e267,35,Starting XI,303548,2019/2020,La Liga,Barcelona,433
8553b2fc-af4b-46be-995f-5df83c3297db,35,Starting XI,16056,2018/2019,La Liga,Barcelona,433
c7927cb5-4ee4-4e73-84bf-98d2244e98b0,35,Starting XI,3749603,2003/2004,Premier League,Arsenal,442
9a7f43a7-658b-4cce-81b2-b870e5fa4361,35,Starting XI,16056,2018/2019,La Liga,Real Betis,3412
302ad8f4-fe32-40f3-86ec-0e853e730fed,35,Starting XI,3749603,2003/2004,Premier League,Fulham,451
e1315a5c-776e-4bdf-80fe-fe845c52ce87,35,Starting XI,15986,2018/2019,La Liga,Girona,352
80963c76-5141-4e56-b49d-0f5fc0a2631c,36,Tactical Shift,3773631,2020/2021,La Liga,Barcelona,4231
3f827459-5416-47ed-a82b-3e4f5ce1c5d6,36,Tactical Shift,3749117,2003/2004,Premier League,Everton,433
7310ecb6-ee68-4963-8bba-2fe3f1c0a01f,36,Tactical Shift,16073,2018/2019,La Liga,Atlético Madrid,442
9d9578b5-c08c-4279-8f74-b6b1497398c1,35,Starting XI,3773457,2020/2021,La Liga,Barcelona,352
42429c8b-a2d5-48e9-a585-20d7ddb03217,35,Starting XI,3749434,2003/2004,Premier League,Arsenal,442
faf6e4df-165e-4e5d-bf1f-b9c22babb867,35,Starting XI,3749434,2003/2004,Premier League,Birmingham City,4231
854c3839-fd64-4840-836f-1f38f7d278f3,35,Starting XI,16182,2018/2019,La Liga,Real Valladolid,3412
fdef514a-805b-4969-b322-61421e4f84f7,35,Starting XI,15973,2018/2019,La Liga,Huesca,442
34ff56cb-1521-4daa-9b82-bc27c9d0732a,35,Starting XI,303548,2019/2020,La Liga,Mallorca,442
f601b49c-1ae1-4939-85db-9766ece281c9,35,Starting XI,16149,2018/2019,La Liga,Barcelona,433
158618b4-b594-408f-9071-f128b3b16ed5,35,Starting XI,303634,2019/2020,La Liga,Barcelona,433
b49d443c-19db-4516-b7d1-d947f37dd9c2,35,Starting XI,16149,2018/2019,La Liga,Girona,352
64ebdceb-274f-4ffd-b91a-72521b5060d3,36,Tactical Shift,16275,2018/2019,La Liga,Deportivo Alavés,442
46ec2292-3f9c-4505-96d5-4c5a59d5408c,36,Tactical Shift,3773523,2020/2021,La Liga,Barcelona,433
8f559cfe-f291-4ff2-89b9-29e0c3ec8c1b,35,Starting XI,3773428,2020/2021,La Liga,Barcelona,4231
709654e3-d4e2-4180-bfcc-4b8306091cb0,36,Tactical Shift,3773428,2020/2021,La Liga,Cádiz,4141
63a6191e-5ce1-49e4-b9aa-50fe3eff8dbc,35,Starting XI,3749068,2003/2004,Premier League,Arsenal,442
cb992c55-ed63-4211-aeee-9eda5a00bcc3,35,Starting XI,16231,2018/2019,La Liga,Barcelona,433
e797f68c-7ce4-4112-86b5-c0ca231a4cf7,35,Starting XI,16248,2018/2019,La Liga,Atlético Madrid,442
034721c1-eea6-4c9a-ba4b-1a96fc7b0cd4,36,Tactical Shift,3749108,2003/2004,Premier League,Aston Villa,4141
542af430-0218-4fa2-af3c-04faf7037f9d,36,Tactical Shift,16190,2018/2019,La Liga,Barcelona,41221
