event_id,id,name,match_id,season,competition,team,player,outcome_id,outcome_name
e9edb729-f50c-45df-b66f-46574552b039,10,Interception,3749528,2003/2004,Premier League,Arsenal,Martin Keown,4,Won
80665800-b2b1-471e-b386-d5966d390174,10,Interception,15946,2018/2019,La Liga,Deportivo Alavés,Daniel Alejandro Torres Rojas,16,Success In Play
6f0a8ead-ad48-4023-b2e1-eb1b8c6bf3c3,10,Interception,3773597,2020/2021,La Liga,Real Sociedad,Mikel Merino Zazón,13,Lost In Play
559e06ab-5493-485c-a590-a309f25ad28f,10,Interception,3749346,2003/2004,Premier League,Arsenal,Ashley Cole,16,Success In Play
424d9b2a-40c7-424f-8e46-8ec60369fea2,10,Interception,3773625,2020/2021,La Liga,Sevilla,Diego Carlos Santos Silva,16,Success In Play
9b2a37ea-000a-4ccf-b60c-5731a7d3a8c3,10,Interception,3749528,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,4,Won
30af99d9-9617-4d62-9120-bc67eeb8dc6f,10,Interception,3773377,2020/2021,La Liga,Barcelona,Óscar Mingueza García,16,Success In Play
d38f1f97-0fa3-43d0-bc83-3750323a47c6,10,Interception,3773597,2020/2021,La Liga,Barcelona,Pedro González López,4,Won
3173685b-78a9-4e10-aae8-9ef360ac1c99,10,Interception,16010,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu,4,Won
734f9295-aa5e-494b-8673-b4068b32b36b,10,Interception,303696,2019/2020,La Liga,Atlético Madrid,Renan Augusto Lodi dos Santos,16,Success In Play
9f2432ce-a60f-4f21-9077-b02f3cc72a8e,10,Interception,3749253,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,16,Success In Play
8e07ff02-cf10-494d-8197-1c480e7ecbd0,10,Interception,16086,2018/2019,La Liga,Espanyol,Sergio García De La Fuente,4,Won
a1e2a371-3453-4e70-9370-978a5bafdf23,10,Interception,303666,2019/2020,La Liga,Barcelona,Ivan Rakitić,4,Won
2167d46f-fa06-4be1-b170-63531683fd93,10,Interception,3773660,2020/2021,La Liga,Levante UD,Mickaël Malsa,4,Won
e84d72ca-b0f0-4de2-9e6d-0676a30e9b01,10,Interception,303377,2019/2020,La Liga,Getafe,Mauro Wilney Arambarri Rosa,4,Won
217ece75-c3e4-471c-99d3-abd1cecbfb25,10,Interception,3773474,2020/2021,La Liga,Barcelona,Clément Lenglet,4,Won
94d15c0a-8a4b-46ac-9766-4032c6269077,10,Interception,303731,2019/2020,La Liga,Eibar,Eduardo Expósito Jaén,16,Success In Play
3b32de1d-0e66-458b-ab79-8f47074a5e88,10,Interception,3773585,2020/2021,La Liga,Real Madrid,Toni Kroos,13,Lost In Play
43311622-8808-4f50-b87b-be51ab61eb60,10,Interception,3749631,2003/2004,Premier League,Southampton,Michael Lennart Svensson,4,Won
96c0b96f-ff90-44c6-97d2-bae037c064b2,10,Interception,3749528,2003/2004,Premier League,Newcastle United,"Andy O""Brien",16,Success In Play
a25d6964-06b9-430e-a424-04ca8a75b19b,10,Interception,303532,2019/2020,La Liga,Barcelona,Ivan Rakitić,16,Success In Play
c84b3f82-6945-4da8-bc60-cc07589f114d,10,Interception,3773477,2020/2021,La Liga,Barcelona,Frenkie de Jong,16,Success In Play
10ce7d37-90f3-4bbd-bd7f-2d6b1c685033,10,Interception,3773377,2020/2021,La Liga,Valencia,Denis Cheryshev,13,Lost In Play
