name,id,jersey,team,country
Aridane Hernández Umpiérrez,24212,23,Osasuna,Spain
Brian McBride,38466,8,Fulham,United States of America
Nikola Vukčević,17303,17,Levante UD,Montenegro
Oleg Luzhny,40309,22,Wolverhampton Wanderers,Ukraine
Luis Jesús Pérez Maqueda,24266,2,Real Valladolid,Spain
Scott Parker,20286,19,Chelsea,England
Kevin Poole,45966,1,Bolton Wanderers,England
Yangel Clemente Herrera Ravelo,16249,21,Granada,Venezuela (Bolivarian Republic)
Simon Charlton,40390,3,Bolton Wanderers,England
Craig Short,40356,6,Blackburn Rovers,England
Sabit Abdulai,41107,35,Getafe,Ghana
Ioan Viorel Ganea,17727,20,Wolverhampton Wanderers,Romania
José María Martín-Bejarano Serrano,23970,6,Cádiz,Spain
Moritz Volz,40408,2,Fulham,Germany
Richard Hughes,376516,22,Portsmouth,Scotland
Leandro Daniel Cabrera Sasía,6635,6,Getafe,Uruguay
Samuele Longo,11672,12,Huesca,Italy
Markel Susaeta Laskurain,6390,14,Athletic Club,Spain
Ugo Ehiogu,40325,4,Middlesbrough,England
Aarón Martín Caricol,6757,19,Celta Vigo,Spain
James Beattie,40442,9,Southampton,England
Rubén Rochina Naixes,6680,16,Levante UD,Spain
José Antonio Miranda Boacho,105762,32,Getafe,Equatorial Guinea
Nigel Quashie,40338,11,Portsmouth,Scotland
Tomasz Radziński,40286,0,Everton,Canada
Steven Caldwell,40369,15,Leeds United,Scotland
Paulo Dino Gazzaniga,5109,1,Elche,Argentina
Simon Royce,41458,25,Charlton Athletic,England
Adnan Januzaj,6330,11,Real Sociedad,Belgium
Íñigo Lekue Martínez,6392,15,Athletic Club,Spain
Pedro Mosquera Parada,6733,5,Huesca,Spain
David García Zubiría,23950,5,Osasuna,Spain
Stylianos Giannakopoulos,19772,7,Bolton Wanderers,Greece
Ignacio Vidal Miralles,6591,2,Osasuna,Spain
Iván Martín Núñez,42275,37,Villarreal,Spain
Mario Melchiot,20281,15,Chelsea,Netherlands
Joey Barton,38552,0,Manchester City,England
Ronny Johnsen,24763,27,Aston Villa,Norway
Marcos Llorente Moreno,6840,14,Atlético Madrid,Spain
Alejandro Granell Nogué,6570,6,Girona,Spain
Ignasi Miquel i Pons,6741,21,Getafe,Spain
Javier López Rodríguez,6791,16,Espanyol,Spain
José Alejandro Martín Valerón,47344,37,Cádiz,Spain
David Gil Mohedano,31793,13,Cádiz,Spain
Patrick Vieira,15515,4,Arsenal,France
Guido Marcelo Carrillo,3246,18,Leganés,Argentina
Jonás Ramalho Chimeno,6887,4,Girona,Angola
Aitor Ruibal García,6851,19,Leganés,Spain
Ignacio Monreal Eraso,3498,20,Real Sociedad,Spain
Hélder Manuel Marques Postiga,20011,8,Tottenham Hotspur,Portugal
Robert Kenedy Nunes do Nascimento,3666,25,Getafe,Brazil
Denis Irwin,24765,2,Wolverhampton Wanderers,Ireland
Manuel Reina Rodríguez,24083,1,Mallorca,Spain
"Andy O""Brien",40225,5,Newcastle United,Ireland
Graham Stuart,40376,4,Charlton Athletic,England
José Antonio Caro Díaz,24920,13,Real Valladolid,Spain
Jorge Andújar Moreno,6672,12,Levante UD,Spain
João Félix Sequeira,12041,7,Atlético Madrid,Portugal
Filip Malbašić,24270,24,Cádiz,Serbia
José Luis Rodríguez Francis,5628,38,Deportivo Alavés,Panama
Santiago Ramos Mingo,49301,32,Barcelona,Argentina
Gareth Barry,3633,6,Aston Villa,England
Jorge Sáenz de Miera Colmeiro,24273,16,Celta Vigo,Spain
Leonardo Carrilho Baptistão,6761,11,Espanyol,Brazil
Santiago Mina Lorenzo,6594,22,Celta Vigo,Spain
Aritz Aduriz Zubeldia,6394,20,Athletic Club,Spain
Gabriel Matías Fernández Leites,30294,19,Celta Vigo,Uruguay
Michael Gray,40395,33,Blackburn Rovers,England
Lisandro Magallán,23263,6,Deportivo Alavés,Argentina
Sergio Escudero Palomo,6718,18,Sevilla,Spain
Jules Koundé,4445,12,Sevilla,France
Emiliano Ariel Rigoni,15880,22,Elche,Argentina
Gary Naysmith,40282,0,Everton,Scotland
Kevin Nolan,21540,4,Bolton Wanderers,England
Ezequiel Marcelo Garay,6891,24,Valencia,Argentina
Ray Parlour,24972,15,Arsenal,England
Hernán Arsenio Pérez González,6838,17,Espanyol,Paraguay
Iván Campo Ramos,40386,16,Bolton Wanderers,Spain
Roque Mesa Quevedo,3610,6,Leganés,Spain
Nélson Cabral Semedo,6374,2,Barcelona,Portugal
José Vitor Roque Júnior,40265,12,Leeds United,Brazil
Steffen Iversen,15595,19,Wolverhampton Wanderers,Norway
Joe Cole,40259,10,Chelsea,England
Shinji Okazaki,3810,12,Huesca,Japan
Fernando Calero Villa,11293,5,Real Valladolid,Spain
Jordi Masip López,11302,1,Real Valladolid,Spain
Rubén Sobrino Pozuelo,6613,11,Valencia,Spain
John Arne Semundseth Riise,34386,18,Liverpool,Norway
Shaun Wright-Phillips,38551,0,Manchester City,England
Andoni Gorosabel Espinosa,6670,18,Real Sociedad,Spain
Jon Moncayola Tollar,30277,27,Osasuna,Spain
