name,id,jersey,team,country
Frédéric Oumar Kanouté,25960,9,Tottenham Hotspur,Mali
Emile Heskey,15659,8,Liverpool,England
José Ángel Gómez Campaña,6688,24,Levante UD,Spain
Rodrygo Silva de Goes,25104,27,Real Madrid,Brazil
Santiago Arias Naranjo,5696,4,Atlético Madrid,Colombia
Unai García Lugea,23949,4,Osasuna,Spain
Jorge Marcos Pombo Escobar,24034,11,Cádiz,Spain
Jon Ander Serantes Simon,9879,13,Leganés,Spain
Óscar Melendo Jiménez,6902,14,Espanyol,Spain
Daniel Escriche Romero,24681,23,Huesca,Spain
Daniel Wass,6797,18,Valencia,Denmark
Víctor García Raja,41610,35,Real Valladolid,Spain
Emerson Aparecido Leite de Souza Junior,23522,22,Real Betis,Brazil
Borja González Tomás,6566,18,Deportivo Alavés,Spain
Gary Speed,24799,11,Newcastle United,Wales
Rubén Blanco Veiga,6795,13,Celta Vigo,Spain
Miguel Baeza Pérez,39598,27,Celta Vigo,Spain
David Dunn,40302,0,Birmingham City,England
Marcos André de Sousa Mendonça,31235,16,Real Valladolid,Brazil
Nemanja Maksimović,6901,20,Getafe,Serbia
Mark Fish,40380,6,Charlton Athletic,South Africa
Jesús Navas González,6821,16,Sevilla,Spain
Hassan Kachloul,364783,22,Aston Villa,Morocco
Iago Herrerín Buisán,6662,13,Athletic Club,Spain
Cristiano Ronaldo dos Santos Aveiro,5207,7,Manchester United,Portugal
Toni Kroos,5574,8,Real Madrid,Germany
Waldo Rubio Martín,24777,23,Real Valladolid,Spain
Asier Villalibre Molina,32953,25,Athletic Club,Spain
Nemanja Gudelj,16489,17,Sevilla,Serbia
Jeison Fabián Murillo Cerón,6585,17,Barcelona,Colombia
Saúl Ñíguez Esclapez,6381,8,Atlético Madrid,Spain
Francisco José Beltrán Peinado,11389,8,Celta Vigo,Spain
Oier Olazábal Paredes,6692,13,Levante UD,Spain
Diego da Silva Costa,5198,19,Atlético Madrid,Spain
Norberto Murara Neto,6590,13,Valencia,Brazil
Víctor Laguardia Cisneros,6615,5,Deportivo Alavés,Spain
Daniel Filipe Martins Carriço,6825,6,Sevilla,Portugal
Mathieu Flamini,6631,16,Getafe,France
José Antonio Morente Oliva,24251,11,Elche,Spain
José Mena Rodríguez,33146,26,Sevilla,Spain
Jonathan Douglas,40398,26,Blackburn Rovers,Ireland
Marc Muniesa Martínez,6560,20,Girona,Spain
Stan Lazaridis,40295,0,Birmingham City,Australia
Michael Owen,15665,10,Liverpool,England
Antonio García Aranda,6784,3,Levante UD,Spain
Francisco Javier Alvarez Rodríguez,105323,32,Real Valladolid,Spain
Jerzy Dudek,34390,1,Liverpool,Poland
Denis Cheryshev,5186,11,Valencia,Russia
Stiven Ricardo Plaza Castillo,23492,42,Real Valladolid,Ecuador
Rodrigo Tarín Higón,17818,15,Leganés,Spain
Aïssa Mandi,6648,23,Real Betis,Algeria
David Seaman,15409,1,Manchester City,England
Matthew Taylor,4357,14,Portsmouth,England
Nicolas Anelka,15519,39,Manchester City,France
Theo Bernard François Hernández,6704,19,Real Sociedad,France
José Manuel Arnáiz Díaz,6810,16,Osasuna,Spain
Alejandro Moreno Lopera,11538,7,Rayo Vallecano,Spain
Jonathan Cristian Silva,11730,5,Leganés,Argentina
Filipe Luís Kasmirski,6320,3,Atlético Madrid,Brazil
Zoumana Camara,40263,6,Leeds United,France
Genaro Rodríguez Serrano,33307,36,Sevilla,Spain
Raphaël Varane,5485,5,Real Madrid,France
Jokin Ezkieta Mendiburu,35404,31,Barcelona,Spain
Álvaro Borja Morata Martín,3477,9,Atlético Madrid,Spain
Lucas Hernández Pi,5484,21,Atlético Madrid,France
José María Giménez de Vargas,5259,2,Atlético Madrid,Uruguay
Pedro González López,30486,16,Barcelona,Spain
Shaun Thurston Bartlett,41459,17,Charlton Athletic,South Africa
Stewart Downing,9585,19,Middlesbrough,England
Stuart Taylor,40870,13,Arsenal,England
Thomas Lemar,3245,11,Atlético Madrid,France
Rafael Mir Vicente,23812,9,Huesca,Spain
Joaquín José Marín Ruiz,24138,17,Granada,Spain
Rubén Salvador Pérez Del Mármol,6599,21,Leganés,Spain
Raúl García Carnero,6601,14,Leganés,Spain
Roy Carroll,40364,13,Manchester United,Northern Ireland
Ivica Mornar,20331,37,Portsmouth,Croatia
Philippe Coutinho Correia,3501,7,Barcelona,Brazil
Santiago Cáseres,11385,5,Villarreal,Argentina
Luís Boa Morte Pereira,40424,11,Fulham,Portugal
Jairo Izquierdo González,23971,25,Cádiz,Spain
Denis Suárez Fernández,6609,6,Barcelona,Spain
Steven Reid,40358,12,Blackburn Rovers,Ireland
Eduardo César Daude Gaspar,26014,17,Arsenal,Brazil
Carlos Arturo Bacca Ahumada,5688,9,Villarreal,Colombia
Gilberto Aparecido da Silva,40221,19,Arsenal,Brazil
Cristhian Ricardo Stuani Curbelo,6351,7,Girona,Uruguay
Álvaro García Rivera,12192,18,Rayo Vallecano,Spain
Unai Simón Mendibil,11748,25,Athletic Club,Spain
Michael Oakes,40310,1,Wolverhampton Wanderers,England
Aleix Vidal Parreu,6400,18,Deportivo Alavés,Spain
Patrik Berger,15259,13,Portsmouth,Czech Republic
Maximilian Wöber,8068,14,Sevilla,Austria
Fitz Hall,40444,15,Southampton,England
Carles Pérez Sayol,25006,43,Barcelona,Spain
José Javier Hualde Zaratiegui,41471,35,Osasuna,Spain
Robert Huth,40123,0,Chelsea,Germany
Robbie Savage,40290,0,Birmingham City,Wales
Rafael Alcântara do Nascimento,6998,12,Barcelona,Brazil
Craig Bellamy,40226,10,Newcastle United,Wales
Róbert Mazáň,6876,15,Celta Vigo,Slovakia
Thomas Teye Partey,6383,5,Atlético Madrid,Ghana
Joseph Aidoo,16555,18,Celta Vigo,Ghana
Javier Moyano Lujano,11297,17,Real Valladolid,Spain
Enrique García Martínez,6711,17,Eibar,Spain
Yeray Álvarez López,6877,5,Athletic Club,Spain
Sanjin Prcić,4407,8,Levante UD,Bosnia and Herzegovina
George Boateng,40324,7,Middlesbrough,Netherlands
Marc-André ter Stegen,20055,1,Barcelona,Germany
Aleix Febas Pérez,23986,23,Mallorca,Spain
Zouhair Feddal,6647,4,Real Betis,Morocco
Gorka Iraizoz Moreno,6576,1,Girona,Spain
Henri Camara,40308,17,Wolverhampton Wanderers,Senegal
Yassin Fékir,23677,19,Real Betis,France
Chris Perry,40381,36,Charlton Athletic,England
Marc Roca Junqué,6866,21,Espanyol,Spain
Lucas Torreira Di Pascua,5266,5,Atlético Madrid,Uruguay
Cheick Doukouré,6683,25,Levante UD,Côte d'Ivoire
Martín Aguirregabiria Padilla,6618,21,Deportivo Alavés,Spain
Sergio Busquets i Burgos,5203,5,Barcelona,Spain
Stefan Savić,6376,15,Atlético Madrid,Montenegro
Sergio Enrich Ametller,6700,9,Eibar,Spain
Moussa Wagué,5674,40,Barcelona,Senegal
Samuel Yves Umtiti,5492,23,Barcelona,France
Mark Kennedy,40305,11,Wolverhampton Wanderers,Ireland
Alan Wright,40404,22,Middlesbrough,England
José Andrés Guardado Hernández,5563,18,Real Betis,Mexico
Goran Bunjevčević,40273,5,Tottenham Hotspur,Serbia
Juan Pedro Ramírez López,6572,15,Girona,Spain
Roberto Torres Morales,23947,10,Osasuna,Spain
Alexander Mesa Travieso,6808,23,Cádiz,Spain
Riccardo Scimeca,375887,21,Leicester City,England
Javier López Carballo,41124,26,Deportivo Alavés,Spain
José Luis Morales Nogales,6668,11,Levante UD,Spain
Enes Ünal,6760,9,Real Valladolid,Turkey
Gerard Gumbau Garriga,6834,6,Leganés,Spain
Markus Babbel,15272,0,Blackburn Rovers,Germany
Rami Shaaban,41623,24,Arsenal,Sweden
Alejandro Blanco Sánchez,25005,37,Valencia,Spain
Nehuén Pérez,30081,3,Granada,Argentina
João Paulo Santos da Costa,31789,35,Granada,Portugal
Andrew Hjulsager,10759,16,Celta Vigo,Denmark
Salif Alassane Diao,40256,0,Liverpool,Senegal
Arthur Henrique Ramos de Oliveira Melo,11392,8,Barcelona,Brazil
Okay Yokuşlu,12555,5,Celta Vigo,Turkey
Enrique Pérez Muñoz,40881,28,Real Valladolid,Spain
Kévin Manuel Rodrigues,6885,24,Leganés,Portugal
David Zurutuza Veillet,6669,17,Real Sociedad,Spain
Sébastien Schemmel,40336,28,Portsmouth,France
Frank Mohammed Sinclair,40243,0,Leicester City,Jamaica
Andy Todd,40355,0,Blackburn Rovers,England
Álvaro Fernández Llorente,25598,1,Huesca,Spain
Mikel Balenziaga Oruesagasti,6789,24,Athletic Club,Spain
Mamor Niang,75584,39,Getafe,Spain
Laureano Bisan-Etame Mayer,40222,12,Arsenal,Cameroon
Gerard Piqué Bernabéu,5213,3,Barcelona,Spain
Anssumane Fati,30756,31,Barcelona,Spain
Ivo Grbić,29342,1,Atlético Madrid,Croatia
Thomas Vermaelen,6332,24,Barcelona,Belgium
Víctor Sánchez Mata,6758,4,Espanyol,Spain
El-Hadji Ousseynou Diouf,40257,9,Liverpool,Senegal
Èric Montes Arce,34694,28,Girona,Spain
Alfonso Pedraza Sag,6737,16,Villarreal,Spain
Luke Young,40416,19,Charlton Athletic,England
David Sommeil,40220,0,Manchester City,France
Pablo Chavarría,7361,19,Mallorca,Argentina
Dejan Stefanovic,40340,3,Portsmouth,Serbia
Robert Navarro Muñoz,47375,29,Real Sociedad,Spain
Karl Brillant Toko Ekambi,3551,17,Villarreal,Cameroon
Pablo Pérez Rico,41409,40,Sevilla,Spain
Matt Jansen,40396,10,Blackburn Rovers,England
Patrick Twumasi,12190,24,Deportivo Alavés,Ghana
Colin Cameron,40313,10,Wolverhampton Wanderers,Scotland
Neil Sullivan,40271,34,Chelsea,Scotland
Daniele Bonera,6827,23,Villarreal,Italy
Marc Cardona Rovira,13108,7,Eibar,Spain
Rúben Afonso Borges Semedo,6857,4,Huesca,Portugal
Pablo Lombo Suárez,37006,35,Leganés,Spain
Borja Fernández Fernández,11294,8,Real Valladolid,Spain
Duje Čop,8419,20,Real Valladolid,Croatia
Yoel Rodríguez Oterino,10612,13,Eibar,Spain
Thierry Henry,15516,14,Arsenal,France
Luka Modrić,5463,10,Real Madrid,Croatia
Eduardo Expósito Jaén,6910,10,Eibar,Spain
Raúl García Escudero,6391,22,Athletic Club,Spain
Jon Bautista Orgilles,6906,21,Real Sociedad,Spain
Francisco António Machado Mota de Castro Trincão,22390,17,Barcelona,Portugal
Juan Antonio Iglesias Sánchez,71519,29,Getafe,Spain
Bruno González Cabrera,6872,6,Real Valladolid,Spain
Javier Galán Gil,23322,11,Huesca,Spain
Shola Ameobi,40232,23,Newcastle United,Nigeria
Oriol Rey Erenas,47372,29,Real Valladolid,Spain
Jesper Grønkjær,15524,30,Chelsea,Denmark
Marians Pahars,19857,17,Southampton,Latvia
Sylvain Legwinski,40411,5,Fulham,France
André-Frank Zambo Anguissa,3141,19,Villarreal,Cameroon
Sylvain Wiltord,15512,11,Arsenal,France
Rúben Miguel Nunes Vezo,6592,14,Levante UD,Portugal
Stephen Clemence,40297,0,Birmingham City,England
Darío Poveda Romera,8864,19,Getafe,Spain
Stephen Kelly,40272,34,Tottenham Hotspur,Ireland
Carlos Henrique Casimiro,5539,14,Real Madrid,Brazil
Jonathan Fortune,40417,24,Charlton Athletic,England
Darren Kenton,40436,22,Southampton,England
Jawad El Yamiq,7459,15,Real Valladolid,Morocco
Jamie Carragher,34388,23,Liverpool,England
Carlos Martín Vigaray,6856,2,Deportivo Alavés,Spain
Luca Sangalli Fuentes,16210,23,Real Sociedad,Spain
Axel Werner,9747,1,Huesca,Argentina
Christian Gabriel Oliva Giménez,31931,10,Valencia,Uruguay
Pablo Fornals Malla,6764,8,Villarreal,Spain
Andrés Eduardo Fernández Moreno,8697,13,Villarreal,Spain
John Welsh,9845,0,Liverpool,England
Darren Fletcher,4022,24,Manchester United,Scotland
John Curtis,376517,33,Portsmouth,England
Lluís López Mármol,22919,27,Espanyol,Spain
Jordi Alba Ramos,5211,18,Barcelona,Spain
Pablo Ezequiel De Blasis,8555,16,Eibar,Argentina
Nwankwo Christian Kanu,24971,25,Arsenal,Nigeria
Anders Svensson,20193,12,Southampton,Sweden
Vicente Iborra De La Fuente,3497,10,Villarreal,Spain
Andrei Florin Ratiu,24861,27,Villarreal,Romania
Alfa Semedo Esteves,10323,2,Espanyol,Guinea-Bissau
Roberto Santamaría Cipriain,22332,13,Huesca,Spain
Franco Damián Vázquez,6719,22,Sevilla,Argentina
Stern John,40299,0,Birmingham City,Trinidad and Tobago
Darius Vassell,20327,10,Aston Villa,England
Antonio Adán Garrido,6654,1,Atlético Madrid,Spain
Jlloyd Tafari Samuel,40359,3,Aston Villa,Trinidad and Tobago
Víctor Mollejo Carpintero,23211,26,Getafe,Spain
James Scowcroft,40237,10,Leicester City,England
Alan Smith,40267,17,Leeds United,England
Jussi Jääskeläinen,40385,22,Bolton Wanderers,Finland
Josep Señé Escudero,27342,4,Mallorca,Spain
Sergio Álvarez Conde,6884,1,Celta Vigo,Spain
Marco Asensio Willemsen,5719,20,Real Madrid,Spain
Sofiane Boufal,3625,19,Celta Vigo,Morocco
Ashley Cole,12529,3,Arsenal,England
Émerson Augusto Thome,40383,26,Bolton Wanderers,Brazil
Roger Martí Salvador,6684,9,Levante UD,Spain
"Gérémi Sorele N""Djitap Fotso",40261,14,Chelsea,Cameroon
Rubén Alcaraz Jiménez,11300,14,Real Valladolid,Spain
Bryan Gil Salvatierra,22418,26,Leganés,Spain
John Terry,20287,26,Chelsea,England
Borja Mayoral Moya,21147,2,Levante UD,Spain
Cristiano Piccini,11634,21,Valencia,Italy
Claudio Andrés Bravo Muñoz,4691,25,Real Betis,Chile
Juan Hernández García,25014,7,Celta Vigo,Spain
Alexander Isak,8819,19,Real Sociedad,Sweden
Alain Goma,40422,24,Fulham,France
Sergio Barcia Laranxeira,52181,42,Granada,Spain
Daniel José Rodríguez Vázquez,24088,14,Mallorca,Spain
Mikaël Silvestre,20341,27,Manchester United,France
Chris Baird,11009,32,Southampton,Northern Ireland
Darren Ambrose,40229,17,Newcastle United,England
Mauro Wilney Arambarri Rosa,6863,18,Getafe,Uruguay
Sergio Gómez Martín,22199,10,Huesca,Spain
Domingos Sousa Coutinho Meneses Duarte,23807,22,Granada,Portugal
Marcus Allbäck,20180,14,Aston Villa,Sweden
Jorge De Frutos Sebastián,32673,18,Levante UD,Spain
Alphonse Areola,3379,1,Real Madrid,France
David Unsworth,40281,0,Everton,England
Sergio Asenjo Andrés,6755,1,Villarreal,Spain
Sergio Lozano Lluch,15737,28,Villarreal,Spain
Valery Fernández Estrada,22129,34,Girona,Spain
Jaime Mata Arnaiz,11550,7,Getafe,Spain
Malcolm Christie,40403,11,Middlesbrough,England
Mbulelo Mabizela,40315,21,Tottenham Hotspur,South Africa
Joseba Zaldúa Bengoetxea,6605,2,Real Sociedad,Spain
Douglas Luiz Soares de Paulo,6574,12,Girona,Brazil
Miguel Alfonso Herrero Javaloyas,11301,21,Real Valladolid,Spain
Enric Gallego Puigsech,23213,11,Osasuna,Spain
Michael Turner,4067,23,Charlton Athletic,England
Augusto Jorge Mateo Solari,28658,21,Celta Vigo,Argentina
Stuart Parnaby,40402,21,Middlesbrough,England
Gelson Dany Batalha Martins,5723,18,Atlético Madrid,Portugal
David López Silva,6754,15,Espanyol,Spain
Ian Harte,40368,3,Leeds United,Ireland
Mikel Merino Zazón,3042,8,Real Sociedad,Spain
Antonio Latorre Grueso,6587,15,Valencia,Spain
Karim Benzema,19677,9,Real Madrid,France
Martín Montoya Torralbo,6593,2,Real Betis,Spain
Roberto Soldado Rillo,26009,9,Granada,Spain
Matheus Fernandes Siqueira,29256,19,Barcelona,Brazil
Antonio Barragán Fernández,6663,19,Real Betis,Spain
Antoine Griezmann,5487,17,Barcelona,France
Sergio García De La Fuente,6767,9,Espanyol,Spain
William Silva de Carvalho,5214,14,Real Betis,Portugal
Wilfrid Jaures Kaptoum,22235,34,Real Betis,Cameroon
Gabriel Veiga Novas,47447,31,Celta Vigo,Spain
Sergio Akieme Rodríguez,20734,39,Barcelona,Spain
Edgar Badía Guardiola,24165,13,Elche,Spain
Diego Javier Llorente Ríos,6713,3,Real Sociedad,Spain
Daniel Villahermosa Martínez,41603,38,Espanyol,Spain
Adrián Embarba Blázquez,11539,11,Rayo Vallecano,Spain
Kasey Keller,40274,13,Tottenham Hotspur,United States of America
José Ramiro Funes Mori,4629,4,Villarreal,Argentina
Steve Watson,38558,0,Everton,England
Juan Pablo Ángel Arango,40362,18,Aston Villa,Colombia
Esteban Félix Granero Molina,6770,23,Espanyol,Spain
Danny Coyne,40235,16,Leicester City,Wales
Fabián Ariel Orellana Valenzuela,7105,14,Eibar,Chile
Jaume Doménech Sánchez,6898,1,Valencia,Spain
Daniel Pedro Calvo San Román,24175,12,Elche,Spain
Mouctar Diakhaby,4267,12,Valencia,Guinea
Giovani Lo Celso,3313,21,Real Betis,Argentina
Keith Gillespie,45969,7,Leicester City,Northern Ireland
Michy Batshuayi Tunga,3457,23,Valencia,Belgium
Titus Malachi Bramble,40230,19,Newcastle United,England
Ángel Martín Correa,6377,10,Atlético Madrid,Argentina
Jorge Cuenca Barreno,41543,43,Barcelona,Spain
Henrik Pedersen,40387,9,Bolton Wanderers,Denmark
Oier Sanjurjo Mate,23944,6,Osasuna,Spain
Antonio Manuel Luna Rodríguez,6675,22,Levante UD,Spain
Luis Javier Suárez Charris,24093,7,Granada,Colombia
Asier Riesgo Unamuno,10763,13,Eibar,Spain
Phil Neville,15660,3,Manchester United,England
Pedro Bigas Rigo,7907,3,Eibar,Spain
Ramón Rodríguez Jiménez,41122,42,Barcelona,Spain
Juan Marcos Foyth,21081,8,Villarreal,Argentina
Michael Duberry,40371,22,Leeds United,England
Szilárd Németh,40327,8,Middlesbrough,Slovakia
Chris Marsden,45995,4,Southampton,England
Beñat Etxebarria Urkiaga,6396,7,Athletic Club,Spain
Rodrigo Hernández Cascante,6765,14,Atlético Madrid,Spain
Pere Pons Riera,6565,8,Girona,Spain
Felipe Augusto de Almeida Monteiro,11167,18,Atlético Madrid,Brazil
Collins John,40425,36,Fulham,Netherlands
Javier Martínez Calvo,40114,33,Osasuna,Spain
Lucas Ariel Boyé,7064,9,Elche,Argentina
José Manuel Sánchez Guillén,9857,24,Elche,Spain
Joaquín Fernández Moreno,22020,24,Real Valladolid,Spain
Jermaine Jenas,40234,7,Newcastle United,England
Michael Lennart Svensson,40441,11,Southampton,Sweden
Ricardo Wayne Gardner,40391,11,Bolton Wanderers,Jamaica
Michael Nicolás Santos Rosadilla,11745,20,Leganés,Uruguay
Juan Francisco Moreno Fuertes,6738,2,Leganés,Spain
Matt Heath,40241,0,Leicester City,England
Federico Santiago Valverde Dipetta,6773,15,Real Madrid,Uruguay
Éver Maximiliano David Banega,5504,10,Sevilla,Argentina
Jorge Franco Alviz,6624,18,Deportivo Alavés,Spain
Mathías Olivera Miramontes,7104,17,Getafe,Uruguay
Aleksandar Sedlar,8689,20,Mallorca,Serbia
Carlton Cole Okirie,40418,35,Charlton Athletic,England
Juan Brandariz Movilla,41407,36,Barcelona,Spain
Tie Li,40287,0,Everton,China
Ousmane Dembélé,5477,11,Barcelona,France
Sergio Postigo Redondo,6682,15,Levante UD,Spain
Andy Melville,40415,4,Fulham,Wales
Frenkie de Jong,8118,21,Barcelona,Netherlands
Fernando Niño Rodriguez,34515,34,Villarreal,Spain
Urko González de Zarate Quirós,48647,37,Real Sociedad,Spain
Sofian Chakla,35287,22,Villarreal,Morocco
Diego Altube Suárez,41153,26,Real Madrid,Spain
Marcos Paulo Mesquita Lopes,3218,7,Sevilla,Portugal
Gerónimo Rulli,6694,1,Real Sociedad,Argentina
Paul Telfer,40434,33,Southampton,Scotland
Stanislav Lobotka,6798,14,Celta Vigo,Slovakia
Juan Miranda González,22197,27,Barcelona,Spain
Dimitrios Siovas,6603,18,Huesca,Greece
Zat Knight,40413,16,Fulham,England
Miguel De la Fuente Escudero,20735,29,Real Valladolid,Spain
Jerrel Hasselbaink,40262,9,Chelsea,Netherlands
Daniel García Carrillo,6775,16,Athletic Club,Spain
Martin Valjent,24084,24,Mallorca,Slovakia
José Luis Zalazar Martínez,47373,27,Real Valladolid,Spain
Paul Jones,40319,1,Southampton,Wales
Rafael Jiménez Jarque,23934,3,Cádiz,Spain
Sylvain Distin,40218,0,Manchester City,France
David Soria Solís,6722,13,Getafe,Spain
Ander Capa Rodríguez,6699,21,Athletic Club,Spain
Ibrahim Ba,40392,15,Bolton Wanderers,France
Kevin Harper,376520,7,Portsmouth,Scotland
Ledley King,20488,26,Tottenham Hotspur,England
José Luis Sanmartín Mato,3265,9,Deportivo Alavés,Spain
José Ángel Valdés Díaz,6705,15,Eibar,Spain
Lei Wu,23343,24,Espanyol,China
José Ignacio Fernández Iglesias,5202,6,Real Madrid,Spain
Steve Guppy,45970,27,Leicester City,England
Diego Alende López,34728,30,Real Valladolid,Spain
Helibelton Palacios Zapata,27477,18,Elche,Colombia
Kenan Kodro,8540,23,Athletic Club,Bosnia and Herzegovina
Samuel Sáiz Alonso,4712,11,Getafe,Spain
Clément Lenglet,6826,15,Barcelona,France
José Ignacio Martínez García,11298,22,Real Valladolid,Spain
Ander Iturraspe Derteano,6388,8,Espanyol,Spain
Nicky Butt,24761,8,Manchester United,England
Alexei Gennadyevich Smertin,20510,30,Portsmouth,Russia
David Bentley,376521,37,Arsenal,England
Yannis Salibur,3122,16,Mallorca,France
Miralem Pjanić,6947,8,Barcelona,Bosnia and Herzegovina
Igor Zubeldia Elorza,6676,5,Real Sociedad,Spain
Danny Tiatto,40219,0,Manchester City,Australia
David Prutton,40439,20,Southampton,England
Antti Mikko Niemi,40438,14,Southampton,Finland
Steven Gerrard,19109,17,Liverpool,England
Tim Sherwood,40341,8,Portsmouth,England
Joaquín Navarro Jiménez,6923,15,Deportivo Alavés,Spain
Colin Doyle,3794,13,Birmingham City,Ireland
Alberto Soro Álvarez,24037,26,Granada,Spain
Ferrán Torres García,6748,20,Valencia,Spain
Jaime Seoane Valenciano,30483,20,Huesca,Spain
Lamine Sakho,40269,10,Leeds United,Senegal
Daniel Raba Antolín,6753,22,Villarreal,Spain
Luka Jović,6319,18,Real Madrid,Serbia
Guillermo Alfonso Maripán Loaysa,6855,6,Deportivo Alavés,Chile
Amdy Moustapha Faye,40343,25,Portsmouth,Senegal
Marko Dmitrović,6698,1,Eibar,Serbia
Djené Dakonam Ortega,6634,2,Getafe,Togo
Luis Alfonso Espino García,24616,22,Cádiz,Uruguay
Nick Barmby,15400,7,Leeds United,England
Álvaro Tejero Sacristán,23981,24,Eibar,Spain
Rodrigo Sánchez Rodriguez,41083,28,Real Betis,Spain
Juan Francisco Torres Belén,6375,20,Atlético Madrid,Spain
Rodrigo Ely,6636,4,Deportivo Alavés,Brazil
Jonathan Rodríguez Menéndez,6581,23,Deportivo Alavés,Spain
Michael Brown,40278,6,Tottenham Hotspur,England
Unai Marrero Larrañaga,65900,31,Real Sociedad,Spain
Tiago Manuel Dias Correia,7900,14,Rayo Vallecano,Cape Verde
Tugay Kerimoğlu,15095,0,Blackburn Rovers,Turkey
Steve Stone,15505,19,Portsmouth,England
Anthony Gardner,40279,30,Tottenham Hotspur,England
Rui Tiago Dantas da Silva,24140,1,Granada,Portugal
Gareth Southgate,15403,6,Middlesbrough,England
Willian José da Silva,6721,9,Real Sociedad,Brazil
Mark Pembridge,40289,0,Everton,Wales
Dean Richards,40317,36,Tottenham Hotspur,England
Luis Miguel Sánchez Benítez,34323,15,Elche,Spain
Daniel Gómez Alcón,30593,21,Levante UD,Spain
Daniele Verde,7699,11,Real Valladolid,Italy
Edgar Antonio Méndez Ortega,26387,16,Deportivo Alavés,Spain
Florian Grégoire Claude Lejeune,3093,22,Deportivo Alavés,France
Pedro León Sánchez Gil,6907,21,Eibar,Spain
Jordan Stewart,40239,11,Leicester City,England
Joaquín Sánchez Rodríguez,6651,17,Real Betis,Spain
Paulino de la Fuente Gómez,41123,32,Deportivo Alavés,Spain
Francisco Román Alarcón Suárez,4926,22,Real Madrid,Spain
Martín Merquelanz Castellanos,23212,17,Real Sociedad,Spain
Sebastián Carlos Cristóforo Pepe,7154,15,Getafe,Uruguay
Jens Jønsson,30370,2,Cádiz,Denmark
Carl Cort,40320,27,Wolverhampton Wanderers,Guyana
Matt Elliott,375885,18,Leicester City,Scotland
Jordi Calavera Espinach,24948,2,Eibar,Spain
Richard Wright,40280,0,Everton,England
Danny Murphy,38454,13,Liverpool,England
Bruno Soriano Llido,22819,21,Villarreal,Spain
Rey Manaj,23987,41,Barcelona,Albania
José Sánchez Martínez,51824,28,Granada,Spain
Robbie Fowler,15399,0,Manchester City,England
Paul Ince,15405,8,Wolverhampton Wanderers,England
Antonio Jesús Regal Angulo,18164,18,Real Valladolid,Spain
Patrick Gilmar Sequeira Mejías,97291,41,Celta Vigo,Costa Rica
Franco Matías Di Santo,8512,25,Rayo Vallecano,Argentina
Ferland Mendy,3804,23,Real Madrid,France
Kevin Vázquez Comesaña,22029,20,Celta Vigo,Spain
Steve Finnan,34392,0,Liverpool,Ireland
Brad Friedel,38464,0,Blackburn Rovers,United States of America
Jesé Rodríguez Ruiz,3990,10,Real Betis,Spain
Yunus Dimoara Musah,38792,30,Valencia,United States of America
Anthony Rubén Lozano Colón,7578,19,Girona,Honduras
William Gallas,20257,13,Chelsea,France
Óscar Rodríguez Arnaiz,16212,27,Leganés,Spain
Álvaro Juan Cruz Armada,24172,3,Osasuna,Spain
Michael Bridges,40264,8,Leeds United,England
Roger Claver Assalé Djapone,16024,20,Leganés,Côte d'Ivoire
Jacobo González Rodrigañez,41116,29,Celta Vigo,Spain
Anthony Barness,45967,2,Bolton Wanderers,England
Anthony Le Tallec,7814,0,Liverpool,France
Luis Milla Manzanares,24272,5,Granada,Spain
Igor Bišćan,40254,25,Liverpool,Croatia
Manuel Javier Vallejo Galván,23978,21,Valencia,Spain
Álvaro González Soberón,6762,3,Villarreal,Spain
Iván Cuéllar Sacristán,6610,1,Leganés,Spain
Martin Djetou,40423,17,Fulham,France
Eric Daniel Djemba-Djemba,40365,19,Manchester United,Cameroon
Daniel Rebollo Franco,47611,30,Real Betis,Spain
Álvaro Giménez Candela,24053,21,Cádiz,Spain
Facundo Pellistri Rebollo,36288,37,Deportivo Alavés,Uruguay
Aritz Elustondo Irribaria,6679,15,Real Sociedad,Spain
Peter Crouch,4040,16,Aston Villa,England
Kolo Habib Touré,38412,28,Arsenal,Côte d'Ivoire
Juan Soriano Oropesa,23921,13,Leganés,Spain
Oihan Sancet Tirapu,30225,34,Athletic Club,Spain
Ander Barrenetxea Muguruza,22321,22,Real Sociedad,Spain
Iván Amores Alonso,41291,36,Leganés,Spain
Olof Mellberg,15761,4,Aston Villa,Sweden
Facundo Sebastián Roncaglia,6830,12,Osasuna,Argentina
Guilherme Antonio Arana Lopes,6919,23,Sevilla,Brazil
Yann Bodiger,2961,12,Cádiz,France
Arjan de Zeeuw,40339,6,Portsmouth,Netherlands
Ricard Puig Martí,24841,28,Barcelona,Spain
Arnau Tenas Ureña,39159,36,Barcelona,Spain
Carlos Marín Tomás,37892,31,Real Betis,Spain
Stephane Dalmat,26149,11,Tottenham Hotspur,France
Vladimir Smicer,15280,11,Liverpool,Czech Republic
Mark Schwarzer,40322,1,Middlesbrough,Australia
José Ángel Pozo la Rosa,11535,22,Rayo Vallecano,Spain
Moussa Dembélé,12509,19,Atlético Madrid,France
Jaume Vicent Costa Jordá,6828,11,Villarreal,Spain
Yannick Ferreira Carrasco,5633,21,Atlético Madrid,Belgium
Gustavo Adrián Ramos Vásquez,24324,20,Granada,Colombia
Xavier Quintillà Guasch,24729,39,Villarreal,Spain
Charles Días Barbosa de Oliveira,6707,19,Eibar,Brazil
