event_id,id,name,match_id,season,competition,team,player,deflection,offensive,save
b32e9ab0-3628-4d55-8caa-a519899e4c0e,6,Block,303470,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False,False
4529ecb9-c40a-47ae-b1fc-a69affb4c2d9,6,Block,16317,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False,False
906ef218-9604-4c95-8648-01a326af49af,6,Block,303696,2019/2020,La Liga,Atlético Madrid,Ángel Martín Correa,False,False,False
d6f9f992-3250-49c6-89a7-0356779a9e37,6,Block,3773372,2020/2021,La Liga,Atlético Madrid,Kieran Trippier,False,False,False
deadae75-da58-48ac-9780-72ad67befe83,6,Block,3764661,2020/2021,La Liga,Barcelona,Sergino Dest,False,False,False
0cb84166-d71d-4703-aa2e-a2da612f0115,6,Block,16056,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False,False
0220127e-7915-49ec-a51d-938798ac8d21,6,Block,16056,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu,False,False,False
3cf43689-9483-4be3-85a4-6a53f750a9be,6,Block,3773587,2020/2021,La Liga,Getafe,Damián Nicolás Suárez Suárez,False,False,False
76f29625-652a-4377-af3d-1ce17a2bd892,6,Block,3749454,2003/2004,Premier League,Manchester City,Jihai Sun,False,False,False
5cba8405-da29-42c3-b012-b4300f2b0d85,6,Block,3773428,2020/2021,La Liga,Cádiz,Jairo Izquierdo González,False,False,False
a17c8b65-d906-4ba9-a89f-dfc20495071a,6,Block,3749454,2003/2004,Premier League,Manchester City,David Sommeil,False,False,False
f5b9b812-bd0a-4d4c-b26c-375dc7521f72,6,Block,3773597,2020/2021,La Liga,Real Sociedad,Igor Zubeldia Elorza,False,False,False
4cb7e37e-9c43-4962-bc6e-14ce88296d44,6,Block,3749526,2003/2004,Premier League,Charlton Athletic,Paolo Di Canio,False,False,False
54baddc9-d514-43fd-995a-1afcb48c8025,6,Block,303666,2019/2020,La Liga,Granada,José Antonio Rodríguez Díaz,False,False,False
9a6091ec-396e-47dc-82de-228bd13da162,6,Block,3749358,2003/2004,Premier League,Middlesbrough,Colin Cooper,False,False,False
64b632fe-b3ef-4b49-b255-04cef36aefa9,6,Block,16317,2018/2019,La Liga,Eibar,Fabián Ariel Orellana Valenzuela,False,False,False
2a885b55-2858-466b-9592-11ffec366fae,6,Block,16317,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,False,False
75067319-9098-4ca8-b990-a0344b783867,6,Block,3749526,2003/2004,Premier League,Charlton Athletic,Hermann Hreidarsson,False,False,False
a09670f6-f41f-4a46-a64e-f7732611292a,6,Block,3773565,2020/2021,La Liga,Granada,Dimitri Foulquier,False,False,False
34ae9efc-fccc-48c7-8379-b60868b392e3,6,Block,303377,2019/2020,La Liga,Getafe,Allan Romeo Nyom,False,False,False
e7f4acf0-da3d-4d02-a768-d3fbc21e80e0,6,Block,303731,2019/2020,La Liga,Eibar,Fabián Ariel Orellana Valenzuela,False,False,False
31a47072-2d7c-4e4c-8413-203de163076b,6,Block,303731,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False,False
6db0cee9-07ac-4fd7-becb-a6eebef422bb,6,Block,3749403,2003/2004,Premier League,Bolton Wanderers,Henrik Pedersen,False,False,False
f4bbd8ed-f875-4467-9801-6cd1bae93728,6,Block,303696,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False,False
5b4d9396-3d24-4dcf-a301-b71efa68a338,6,Block,3749296,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,False,False,False
5d97dfda-54c9-4240-b181-20c6d4c67118,6,Block,303473,2019/2020,La Liga,Sevilla,Jesús Navas González,False,False,False
058a6071-0dc1-4782-9b60-c864b78edc98,6,Block,303696,2019/2020,La Liga,Atlético Madrid,João Félix Sequeira,False,False,False
71b6b4cd-30a8-43c7-bb40-be47f10d113f,6,Block,303517,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,False,False
4059e7de-c006-48b6-95e3-5cfbf51f8448,6,Block,3749403,2003/2004,Premier League,Bolton Wanderers,"Augustine Azuka ""Jay-Jay"" Okocha",False,False,False
24d7c64b-d4d0-41d8-947d-a7876f6b18d7,6,Block,303517,2019/2020,La Liga,Deportivo Alavés,Aleix Vidal Parreu,False,False,False
d264898e-8f6d-4abf-a7ba-2ebe0c8f23dd,6,Block,3749296,2003/2004,Premier League,Portsmouth,Amdy Moustapha Faye,False,False,False
275da4e4-d5d1-49f9-b44f-f18c25b73443,6,Block,3773369,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,False,False,False
cb775410-d538-4283-896e-71fc12b6f364,6,Block,303700,2019/2020,La Liga,Eibar,Sergio Álvarez Díaz,False,False,False
c2e6eef7-f53e-47da-ae1f-403311cad3e9,6,Block,3773625,2020/2021,La Liga,Barcelona,Clément Lenglet,False,False,False
4798c39d-0119-4989-a8a8-7d750e459f0e,6,Block,303610,2019/2020,La Liga,Granada,Víctor David Díaz Miguel,False,False,False
10bbaf53-6b30-4d63-9e80-09703d4164ce,6,Block,16149,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,False,False,False
6ccd1975-1765-4e5f-9749-80da8ab65f89,6,Block,3773597,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,False,False,False
