event_id,id,name,match_id,season,competition,team,player,statsbomb_xg,loc_x,loc_y,loc_z,follows_dribble,first_time,open_net,deflected,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
9b592a4c-30ad-4117-a3bc-03d22f78601b,16,Shot,3773477,2020/2021,La Liga,Barcelona,Ousmane Dembélé,0.12409546,119.0,40.7,,False,False,False,False,93,Normal,38,Left Foot,96,Blocked
b0d4ce7c-a6e7-4730-a852-be222d58ca12,16,Shot,3749358,2003/2004,Premier League,Arsenal,Thierry Henry,0.021048732,120.0,35.3,1.0,False,False,False,False,93,Normal,40,Right Foot,98,Off T
14c06592-897b-4cbd-bc48-f3cbd2661a5c,16,Shot,3773415,2020/2021,La Liga,Cádiz,Rubén Sobrino Pozuelo,0.018883605,105.3,25.0,,False,False,False,False,93,Normal,40,Right Foot,96,Blocked
69b33a6c-e6cc-4e6e-809d-b20fe90b648c,16,Shot,3749296,2003/2004,Premier League,Arsenal,Thierry Henry,0.0072516473,94.9,34.6,,False,False,False,False,93,Normal,40,Right Foot,96,Blocked
afb85458-c11a-4fc4-8afb-47f88d6e6877,16,Shot,3749493,2003/2004,Premier League,Everton,Tomasz Radziński,0.20013832,120.0,37.6,0.2,False,True,False,False,93,Normal,40,Right Foot,97,Goal
1311e3c4-ab00-4f13-ba93-b90470b572b1,16,Shot,16240,2018/2019,La Liga,Villarreal,Vicente Iborra De La Fuente,0.17586425,120.0,41.7,0.2,False,True,False,False,93,Normal,38,Left Foot,97,Goal
27d0a250-4788-4ffb-bbbd-c4d135e64120,16,Shot,303696,2019/2020,La Liga,Atlético Madrid,Álvaro Borja Morata Martín,0.013195318,113.7,29.6,,False,False,False,False,93,Normal,40,Right Foot,96,Blocked
41a7f6d7-ccef-4d0c-bc57-6cf578ec8a7b,16,Shot,16289,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,0.03160557,118.0,39.8,1.3,False,False,False,False,93,Normal,40,Right Foot,100,Saved
c06f1f2a-bb81-48cf-a2fc-9426a4d91bf6,16,Shot,16196,2018/2019,La Liga,Barcelona,Ousmane Dembélé,0.07249398,120.0,48.3,0.2,False,True,False,False,93,Normal,38,Left Foot,98,Off T
0de7bda3-e2a2-4192-a5e0-5d73eae7ec18,16,Shot,3749052,2003/2004,Premier League,Arsenal,Thierry Henry,0.31619802,120.0,38.6,0.2,False,True,False,False,93,Normal,40,Right Foot,97,Goal
