event_id,id,name,match_id,season,competition,team,player,defensive,advantage,penalty
8b27a843-f6bc-42db-be74-0241b148413f,21,Foul Won,16248,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
47a69380-65a2-4e55-96ff-522a32dde66c,21,Foul Won,3749448,2003/2004,Premier League,Liverpool,Steven Gerrard,False,True,False
77f1077a-6b39-40d0-b008-7c32900dc35a,21,Foul Won,3749448,2003/2004,Premier League,Liverpool,El-Hadji Ousseynou Diouf,False,False,False
a1a3638e-cdaa-44d9-ae1b-5e6290449807,21,Foul Won,3749117,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,True,False
ad373eb7-2c80-4dba-abca-62cbecf2897a,21,Foul Won,16095,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
40f1b5c6-89b2-439b-b488-711cff1d3a4d,21,Foul Won,16029,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,True
47a2c002-bb28-4348-a468-1d450639f69e,21,Foul Won,3773477,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False,False
9aee46b9-9fff-4dac-a421-adacbf89b550,21,Foul Won,3749278,2003/2004,Premier League,Bolton Wanderers,Youri Djorkaeff,True,False,False
f4d03ad1-96d9-4525-bde3-8989556ff580,21,Foul Won,3773369,2020/2021,La Liga,Barcelona,Antoine Griezmann,True,False,False
265a05a9-eec5-4a28-85a5-22c6928aeec0,21,Foul Won,3773474,2020/2021,La Liga,Barcelona,Ousmane Dembélé,False,False,False
52dcaca7-b0b4-4693-b75e-2cd465ccec7c,21,Foul Won,3773457,2020/2021,La Liga,Barcelona,Ronald Federico Araújo da Silva,False,True,False
23a5cc55-b69c-48e6-a42e-4eae24f78f96,21,Foul Won,16248,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer,False,False,False
0b4108fd-73bb-4cbe-bbe8-d99dd6640844,21,Foul Won,303700,2019/2020,La Liga,Eibar,Anaitz Arbilla Zabala,False,False,False
f96c82cd-2e95-4f0c-a311-d2760b42888d,21,Foul Won,303731,2019/2020,La Liga,Eibar,Papa Kouly Diop,True,False,False
3c29b9c2-70a4-4259-9c2f-689965851269,21,Foul Won,303517,2019/2020,La Liga,Barcelona,Carles Aleña Castillo,False,False,False
88e63187-93fa-48c0-bb8d-04005311688b,21,Foul Won,3773457,2020/2021,La Liga,Barcelona,Ricard Puig Martí,False,False,False
d41b0518-aa7c-435d-9d37-1ab697f7b37f,21,Foul Won,3773689,2020/2021,La Liga,Villarreal,Gerard Moreno Balaguero,False,False,False
9947131f-0181-4322-8fde-75ffa5c42e08,21,Foul Won,3749296,2003/2004,Premier League,Arsenal,Ray Parlour,False,False,False
efc961c4-445c-4620-a2f8-bca0d4b51cc3,21,Foul Won,303504,2019/2020,La Liga,Barcelona,Frenkie de Jong,False,True,False
69204953-d631-443e-86fe-565bff2d4e39,21,Foul Won,303715,2019/2020,La Liga,Barcelona,Ivan Rakitić,False,False,False
4d428481-2b3e-48b9-82e4-39cbc2c99d7a,21,Foul Won,3749192,2003/2004,Premier League,Fulham,Jérôme Bonnissel,False,False,False
9b505f7b-05ef-4255-8663-0e66d33c14b8,21,Foul Won,3749448,2003/2004,Premier League,Arsenal,Robert Pirès,False,True,False
17e169c5-3745-4760-ac49-675992952c06,21,Foul Won,3773457,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,False,False,False
c7911e6e-1958-4a5f-a05f-1fde5b68721d,21,Foul Won,3773587,2020/2021,La Liga,Getafe,Allan Romeo Nyom,False,False,False
9a05e1e0-afe2-480b-87fc-0ebb3a430af6,21,Foul Won,3749276,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,False,False
1a84e238-df8a-4e2b-b2ed-180fba1adb44,21,Foul Won,16275,2018/2019,La Liga,Barcelona,Samuel Yves Umtiti,False,False,False
9f3f9257-b067-4171-8e9e-8791df3d5ef6,21,Foul Won,3773372,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
a39e5386-6cf0-414e-b598-eb7145e60f4f,21,Foul Won,3749454,2003/2004,Premier League,Manchester City,Michael Tarnat,True,False,False
