event_id,id,name,match_id,season,competition,team,player,pos_id,pos_name,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
f232900c-1e43-4d0d-b270-6d2648c17c16,23,Goal Keeper,3749257,2003/2004,Premier League,Leicester City,Ian Walker,44,Set,45,Diving,,,55,No Touch
86d18ce0-ce03-4483-baf0-24feb3c9cfa3,23,Goal Keeper,3749276,2003/2004,Premier League,Chelsea,Neil Sullivan,44,Set,,,,,,
697acd0c-6f0d-4f59-8305-9bb9238378ed,23,Goal Keeper,3749108,2003/2004,Premier League,Aston Villa,Thomas Løvendahl Sørensen,44,Set,,,,,,
44848018-493d-409a-8ce6-efc2903adc30,23,Goal Keeper,303680,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
9e40c19e-5c36-4031-8e9f-bb08a7ef0e75,23,Goal Keeper,15986,2018/2019,La Liga,Girona,Yassine Bounou,44,Set,,,,,,
70866178-16e7-44ce-bb2a-838edcbd7eb7,23,Goal Keeper,16196,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
a84b90c1-cc54-4f46-a1a3-4b69cb68daa7,23,Goal Keeper,3749153,2003/2004,Premier League,Middlesbrough,Mark Schwarzer,44,Set,,,,,,
a62dda89-c5c4-4066-829d-2551d0730049,23,Goal Keeper,303504,2019/2020,La Liga,Levante UD,Aitor Fernández Abarisketa,44,Set,,,,,,
5f9d88e3-4768-435c-95cd-44d22dada3d9,23,Goal Keeper,3773571,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,45,Diving,35,Both Hands,15,Success
034600d7-59d7-4bca-9784-4327d76e08f4,23,Goal Keeper,16109,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
4d93c749-4559-43d3-82fe-a8531c6cade4,23,Goal Keeper,16010,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,42,Moving,46,Standing,,,55,No Touch
c3fef6a0-7ad0-435c-a5b6-e518cf195825,23,Goal Keeper,3749278,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
091e5357-d494-430b-b03e-3c270484cd08,23,Goal Keeper,3749310,2003/2004,Premier League,Southampton,Antti Mikko Niemi,44,Set,46,Standing,35,Both Hands,56,Saved Twice
6a2ab03c-a7a9-4a20-9d5c-b8b7f31c461a,23,Goal Keeper,3749196,2003/2004,Premier League,Tottenham Hotspur,Kasey Keller,44,Set,,,,,,
