event_id,id,name,match_id,season,competition,team,player,aerial_won,body_id,body_name
088127de-5853-4754-b302-dc5d798fb7a4,9,Clearance,3773497,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,37,Head
358a3ca5-c5ee-454d-8594-e530f0d59b29,9,Clearance,3773571,2020/2021,La Liga,Real Valladolid,Javier Sánchez de Felipe,False,40,Right Foot
9e59ed2b-b3d3-42d6-9f5b-5cac989107f7,9,Clearance,3749453,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,40,Right Foot
27ab495f-4c8f-4495-a947-4228e7be4035,9,Clearance,3764661,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,False,37,Head
2aed48fe-b8b9-402f-a0e8-009d9f54048f,9,Clearance,303524,2019/2020,La Liga,Atlético Madrid,Mario Hermoso Canseco,False,38,Left Foot
69102127-0594-443c-8934-ed383fc9e144,9,Clearance,3773585,2020/2021,La Liga,Real Madrid,Raphaël Varane,False,38,Left Foot
d23b8b83-048f-455d-9d5b-ba09bf687b19,9,Clearance,3749296,2003/2004,Premier League,Arsenal,Ashley Cole,True,37,Head
7b5302eb-12ab-41a4-b110-633c5b173d40,9,Clearance,3749246,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,40,Right Foot
96100517-c220-473e-921e-546ddf427d68,9,Clearance,3749358,2003/2004,Premier League,Middlesbrough,George Boateng,True,37,Head
e085ee81-8464-450c-be31-df192bcaf7e0,9,Clearance,3749196,2003/2004,Premier League,Tottenham Hotspur,Anthony Gardner,False,40,Right Foot
b513ff7d-cbfc-4a5d-967e-cb61d71bc45a,9,Clearance,303700,2019/2020,La Liga,Barcelona,Samuel Yves Umtiti,False,37,Head
bd7c5516-c315-4778-8276-e3ae780e9f34,9,Clearance,3773665,2020/2021,La Liga,Osasuna,Ignacio Vidal Miralles,False,37,Head
c462b077-50ab-487e-9d16-10e1c6acb32d,9,Clearance,16196,2018/2019,La Liga,Barcelona,Clément Lenglet,False,37,Head
9cfcfdfb-0a8a-4501-a699-81940a39fa4d,9,Clearance,303664,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,False,38,Left Foot
7ad1bba1-31ee-4d85-af93-f02990d9bcaa,9,Clearance,3749246,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,40,Right Foot
f0248446-673b-42f9-a355-1be28eb68d62,9,Clearance,3749276,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,37,Head
023af683-19a0-418c-909b-0c92f1771dc4,9,Clearance,16136,2018/2019,La Liga,Leganés,Dimitrios Siovas,False,40,Right Foot
651e618b-e5be-4b7e-b55b-41f96495f451,9,Clearance,3773474,2020/2021,La Liga,Real Valladolid,Javier Sánchez de Felipe,False,38,Left Foot
ddd24172-52ce-4610-97fd-f244cc8a160c,9,Clearance,16196,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer,False,40,Right Foot
d274f469-2a0b-4336-9114-ea4a67ebe3c9,9,Clearance,16190,2018/2019,La Liga,Sevilla,Simon Thorup Kjær,False,37,Head
9a993364-0c13-48c3-bc2a-7b8d18e93e8b,9,Clearance,3749257,2003/2004,Premier League,Leicester City,Nikos Dabizas,False,37,Head
c52b17bd-9c86-4e34-8afc-77d059d0938f,9,Clearance,16190,2018/2019,La Liga,Sevilla,Jesús Navas González,False,37,Head
cd5f600a-d50b-4973-828d-faca999551c2,9,Clearance,303421,2019/2020,La Liga,Deportivo Alavés,Adrián Marín Gómez,False,37,Head
99104e01-3913-41c7-b015-ac31af0fbf06,9,Clearance,3749117,2003/2004,Premier League,Arsenal,Ashley Cole,False,38,Left Foot
404ea515-54bd-4ff0-9ccb-ca8f66426b6c,9,Clearance,16190,2018/2019,La Liga,Sevilla,Jesús Navas González,False,37,Head
58db57f1-09cc-4ea6-b4e1-2d50175afa89,9,Clearance,16086,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,38,Left Foot
fc16e275-2465-431b-a142-f3c348aa6bb7,9,Clearance,3773457,2020/2021,La Liga,Celta Vigo,Carlos Domínguez Cáceres,False,37,Head
1eeccbad-2a3e-405e-86d5-41045c4e5e55,9,Clearance,3749246,2003/2004,Premier League,Arsenal,Gaël Clichy,False,38,Left Foot
a958461f-a2df-4456-b9b2-8e9c00482b38,9,Clearance,3773660,2020/2021,La Liga,Barcelona,Ronald Federico Araújo da Silva,False,40,Right Foot
d63bac78-ecd8-43d7-bb16-7f1ed23862df,9,Clearance,3749431,2003/2004,Premier League,Newcastle United,Jonathan Woodgate,False,40,Right Foot
e168b5dc-093e-4d16-ae71-5bf4f783c5d1,9,Clearance,3773631,2020/2021,La Liga,Real Betis,Emerson Aparecido Leite de Souza Junior,False,40,Right Foot
ca368b6c-e5a0-45dd-9271-b519e2fe7f1e,9,Clearance,3749431,2003/2004,Premier League,Newcastle United,Jonathan Woodgate,False,37,Head
0c0472de-1665-4557-9490-455ce6e0dcf9,9,Clearance,3749522,2003/2004,Premier League,Wolverhampton Wanderers,Lee Naylor,False,38,Left Foot
53ee6ee3-99c9-416e-acbb-9bdb5ad4e852,9,Clearance,3749403,2003/2004,Premier League,Arsenal,Ashley Cole,False,38,Left Foot
fa07bf4e-fa6f-40f5-9c34-2b83386d3921,9,Clearance,16157,2018/2019,La Liga,Valencia,Antonio Latorre Grueso,False,38,Left Foot
bfe3379b-0d56-4777-91b5-a3a4f8e64300,9,Clearance,3749274,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,37,Head
