event_id,id,name,match_id,season,competition,team,player,offensive,foul_id,foul_name,advantage,penalty,card_id,card_name
e8e70878-5a78-4a64-9e90-f87bee94138d,22,Foul Committed,3773403,2020/2021,La Liga,Athletic Club,Raúl García Escudero,False,,,False,False,,
094c8a78-fe01-45a9-b0a3-380987bef99e,22,Foul Committed,3749117,2003/2004,Premier League,Arsenal,Ray Parlour,False,,,False,False,7,Yellow Card
2b35662d-e67e-47c3-92ca-1049c99f8197,22,Foul Committed,3749631,2003/2004,Premier League,Arsenal,Patrick Vieira,False,,,False,False,,
09c0a0eb-1bb1-4dad-a76b-fbf2e1825b5f,22,Foul Committed,16248,2018/2019,La Liga,Atlético Madrid,Rodrigo Hernández Cascante,False,,,False,False,,
47c109c7-90f8-485c-a6c6-8989bf10e482,22,Foul Committed,303430,2019/2020,La Liga,Villarreal,Raúl Albiol i Tortajada,False,,,False,False,,
99fd1c09-f669-4625-88e1-6b9176fdda5e,22,Foul Committed,3773372,2020/2021,La Liga,Atlético Madrid,Jorge Resurrección Merodio,False,,,False,False,7,Yellow Card
f8fffc55-7cae-45e7-924a-a95ce4587b27,22,Foul Committed,303524,2019/2020,La Liga,Atlético Madrid,João Félix Sequeira,False,,,True,False,,
a21684fb-caf1-46ba-8237-7cf91e73be4d,22,Foul Committed,15946,2018/2019,La Liga,Deportivo Alavés,Adrián Marín Gómez,False,,,False,False,,
8863b4ca-a247-4c45-9faf-61ce767314dd,22,Foul Committed,3749276,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,False,,,False,False,,
5e208a96-943a-4461-b45e-151a7323c2eb,22,Foul Committed,3749278,2003/2004,Premier League,Arsenal,Thierry Henry,False,,,False,False,,
12a379a0-f941-459c-b473-7b52b0f0db25,22,Foul Committed,3773526,2020/2021,La Liga,Deportivo Alavés,Tomás Pina Isla,False,,,True,False,,
7b039262-6534-414d-8149-3688653e28e5,22,Foul Committed,16073,2018/2019,La Liga,Atlético Madrid,Diego da Silva Costa,True,,,False,False,,
3580abea-b411-47ca-b924-51d4b4b1d269,22,Foul Committed,3773672,2020/2021,La Liga,Sevilla,Nemanja Gudelj,False,,,False,False,7,Yellow Card
b4f43ce0-7b81-4435-a5c0-1a334398eb79,22,Foul Committed,3749233,2003/2004,Premier League,Manchester City,Claudio Reyna,False,,,False,False,,
bf833996-50ed-4f57-8a28-740c5f865855,22,Foul Committed,303493,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,,,False,False,,
2e809883-70f6-4aa6-87f0-b2e0111035ad,22,Foul Committed,16073,2018/2019,La Liga,Atlético Madrid,Diego da Silva Costa,False,,,False,False,,
a17a1d4a-fd4f-4865-8042-c4ad4b1b79ac,22,Foul Committed,3749403,2003/2004,Premier League,Arsenal,Thierry Henry,False,,,False,False,,
96ca55b8-de76-41bc-871e-b71e21c48998,22,Foul Committed,3773552,2020/2021,La Liga,Huesca,Jaime Seoane Valenciano,False,,,False,False,,
218782b6-9298-49db-ab3e-011ee7ef77dd,22,Foul Committed,16275,2018/2019,La Liga,Deportivo Alavés,Tomás Pina Isla,False,,,False,False,,
450ab77d-7b69-4cf7-8889-0fd229350c38,22,Foul Committed,3773625,2020/2021,La Liga,Sevilla,Diego Carlos Santos Silva,False,,,False,False,7,Yellow Card
bcf31715-6205-4bb9-8562-7ad93c3ac056,22,Foul Committed,3773523,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,,,True,False,,
af88e362-7a93-474d-b3dc-0671af1f1241,22,Foul Committed,303715,2019/2020,La Liga,Leganés,Óscar Rodríguez Arnaiz,False,,,True,False,,
d5508580-5eea-4297-8e9e-59110377193a,22,Foul Committed,3749296,2003/2004,Premier League,Portsmouth,Dejan Stefanovic,False,,,False,True,,
fe895bf8-660d-42f8-bb49-7e1f0b3cc22a,22,Foul Committed,3773672,2020/2021,La Liga,Barcelona,Gerard Piqué Bernabéu,False,,,False,False,,
8b20a08d-ca4f-4e54-a769-9946241711a9,22,Foul Committed,3749278,2003/2004,Premier League,Arsenal,Patrick Vieira,False,,,False,False,,
c1d3ab71-0795-488e-b3c7-72d8bfa4a776,22,Foul Committed,3749603,2003/2004,Premier League,Fulham,Luís Boa Morte Pereira,False,,,False,False,,
efd5aab5-6fe2-4637-90c7-10c23dda10a4,22,Foul Committed,303473,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,,,False,False,,
461fb4b9-4a5c-4d68-9ee1-11e817114fcb,22,Foul Committed,3764440,2020/2021,La Liga,Barcelona,Samuel Yves Umtiti,False,,,False,False,,
c4bc33ee-b463-4683-a94c-3bcd5600fdcf,22,Foul Committed,16215,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,False,,,False,False,,
37edaa90-5149-492f-b3e2-cea7a1f0bfe1,22,Foul Committed,3773585,2020/2021,La Liga,Real Madrid,Toni Kroos,False,,,False,False,,
2b98ed1f-95af-4e2e-b88a-e0fc6f23b9eb,22,Foul Committed,16317,2018/2019,La Liga,Eibar,Charles Días Barbosa de Oliveira,False,,,False,False,,
6e362ccf-dad8-4047-bfde-b3ffb9a531b1,22,Foul Committed,3749448,2003/2004,Premier League,Arsenal,Patrick Vieira,False,,,False,False,,
7aac8bc0-c2ae-4298-a53a-67a53c878e34,22,Foul Committed,303680,2019/2020,La Liga,Barcelona,Héctor Junior Firpo Adames,False,,,False,False,,
2d733490-1a65-4b99-8a76-cdb5e9612a5c,22,Foul Committed,3773386,2020/2021,La Liga,Deportivo Alavés,José Ignacio Peleteiro Ramallo,False,,,False,False,7,Yellow Card
c4c583ba-590e-4915-88f9-3b48d230edd5,22,Foul Committed,3749257,2003/2004,Premier League,Leicester City,Steffen Freund,False,,,False,False,,
f4dad2f0-c801-481d-bf29-ee9e3fc39768,22,Foul Committed,3749068,2003/2004,Premier League,Arsenal,Patrick Vieira,False,,,False,False,,
559b41be-a6f1-4528-9204-6d18d444bea5,22,Foul Committed,3749448,2003/2004,Premier League,Liverpool,Igor Bišćan,False,,,False,False,,
95856f4f-2d94-44e1-8ac3-b1437c6adc79,22,Foul Committed,16182,2018/2019,La Liga,Real Valladolid,Sergio Guardiola Navarro,False,,,False,False,,
c0f01ff1-8c8f-40df-b558-0c11db2d4cd5,22,Foul Committed,3749278,2003/2004,Premier League,Bolton Wanderers,Kevin Cyril Davies,False,,,False,False,,
19082a97-b201-4bd2-8db1-88cee5fbf1fb,22,Foul Committed,3749603,2003/2004,Premier League,Fulham,Moritz Volz,False,,,False,False,,
4698163c-d03a-4441-a8a7-60e5b6e1fc45,22,Foul Committed,3749153,2003/2004,Premier League,Arsenal,Patrick Vieira,False,,,False,False,,
111d6d77-01f2-4576-a679-0b4736ff4243,22,Foul Committed,3749590,2003/2004,Premier League,Leicester City,Paul Dickov,False,,,False,False,,
ce997c26-aef1-4121-ae51-70a98ec1f810,22,Foul Committed,3773625,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,False,,,True,False,,
2c48bda2-3b11-4b54-b05c-1ab0a08cccc2,22,Foul Committed,16173,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,False,,,False,False,,
437d0dce-cb78-4783-aa05-76058b3c6670,22,Foul Committed,3749462,2003/2004,Premier League,Birmingham City,Matthew Upson,False,,,False,False,,
9e6059c0-bdfb-452b-9348-51ac648d1890,22,Foul Committed,303493,2019/2020,La Liga,Athletic Club,Mikel Vesga Arruti,False,,,True,False,,
016af0c5-1493-4340-8f8b-a05c08dcb87b,22,Foul Committed,3749346,2003/2004,Premier League,Leeds United,Alan Smith,False,,,False,False,,
f1c0c630-53c3-46dd-9c31-9b944d918c04,22,Foul Committed,3773586,2020/2021,La Liga,Granada,Yangel Clemente Herrera Ravelo,False,,,False,False,,
f74e9dfa-073f-462d-b176-d1191e9fd4c4,22,Foul Committed,3773625,2020/2021,La Liga,Barcelona,Ousmane Dembélé,True,,,False,False,,
96e0acd1-d2dd-401c-94d4-706f717a9465,22,Foul Committed,303377,2019/2020,La Liga,Getafe,Mauro Wilney Arambarri Rosa,False,,,False,False,,
6af1c315-5296-481e-8f6e-3dbcb86f7443,22,Foul Committed,16196,2018/2019,La Liga,Real Madrid,Sergio Ramos García,False,,,False,False,7,Yellow Card
5096fbc1-22bb-42c5-8e70-9123fbadb5d3,22,Foul Committed,303725,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,,,False,False,,
44f8f723-f8cd-425a-9f16-74dba75a100a,22,Foul Committed,303524,2019/2020,La Liga,Atlético Madrid,Felipe Augusto de Almeida Monteiro,False,,,False,False,,
97bc23d3-ad0a-4a54-8433-09138e886dde,22,Foul Committed,3773625,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,False,,,False,False,,
0f030bca-dbee-4d6f-a8ec-31690b29b35c,22,Foul Committed,16190,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,True,,,False,False,,
bdeb2833-c8cd-49ff-ad59-17df8c3a80d0,22,Foul Committed,3773523,2020/2021,La Liga,Real Sociedad,Ander Barrenetxea Muguruza,False,,,False,False,,
158bb099-aecf-4fec-84f6-fcc4f2d5f86b,22,Foul Committed,3749346,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,,,False,False,,
f7619f57-d404-495e-9fe2-64622aa761d8,22,Foul Committed,303615,2019/2020,La Liga,Barcelona,Clément Lenglet,False,,,False,False,,
94b0b96a-9db0-402b-98d4-250397c6c9e7,22,Foul Committed,303470,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,,,False,False,,
f88290e0-9066-4c36-b82f-86a70ccdd858,22,Foul Committed,3749310,2003/2004,Premier League,Southampton,Rory Delap,False,,,False,False,,
0757e746-86d4-43c4-9a65-237d93a4291e,22,Foul Committed,3773552,2020/2021,La Liga,Huesca,Javier Galán Gil,False,,,False,False,,
7d519087-8cac-43df-9d68-18db01180db2,22,Foul Committed,303615,2019/2020,La Liga,Espanyol,Pol Lozano Vizuete,False,,,False,False,,
f4ecb5cb-8dce-47ec-9522-03eba10c1a48,22,Foul Committed,3773625,2020/2021,La Liga,Sevilla,Luuk de Jong,False,,,False,False,,
75d61dc0-4f3d-4658-967e-9dcedc65642c,22,Foul Committed,3773552,2020/2021,La Liga,Huesca,David Ferreiro Quiroga,False,,,False,False,,
20608853-e18e-4012-abf3-bc72e0356ba1,22,Foul Committed,303731,2019/2020,La Liga,Eibar,Anaitz Arbilla Zabala,False,,,False,False,,
8eac6173-74c3-459d-a218-e5eb3be4edaa,22,Foul Committed,303696,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,,,False,False,,
7b9b97a1-fa82-47ad-868c-480141ebc650,22,Foul Committed,3749052,2003/2004,Premier League,Wolverhampton Wanderers,Ioan Viorel Ganea,False,,,True,False,,
fd51d545-39ec-46a7-902f-7d3c7b538eea,22,Foul Committed,3749296,2003/2004,Premier League,Portsmouth,Dejan Stefanovic,False,,,False,False,,
07f4c79e-c3b5-4e5a-99cd-72cf8a4104bd,22,Foul Committed,3749296,2003/2004,Premier League,Portsmouth,Boris Živković,False,,,False,False,,
aa886c66-12ca-49ae-99a0-7172343f8af1,22,Foul Committed,16196,2018/2019,La Liga,Barcelona,Clément Lenglet,False,,,False,False,7,Yellow Card
