event_id,id,name,match_id,season,competition,team,player,subbed_name,outcome_id,outcome_name
94ca8534-3cf5-4519-aeaa-d5f8aa00b36b,19,Substitution,16149,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,Sergi Roberto Carnicer,103,Tactical
9a557054-c862-4ced-919c-2c525fd8d784,19,Substitution,303470,2019/2020,La Liga,Real Madrid,Karim Benzema,Mariano Díaz Mejía,103,Tactical
ac0f6e28-e9d5-4509-b2d6-23afa5227794,19,Substitution,3749360,2003/2004,Premier League,Blackburn Rovers,Vratislav Greško,Steven Reid,103,Tactical
ae49a2fd-a8c9-461b-a5d8-4cc85cc213fa,19,Substitution,3749196,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,Pascal Cygan,103,Tactical
6bc1f8b7-0ae3-42dd-9033-dfd2467cff25,19,Substitution,15946,2018/2019,La Liga,Deportivo Alavés,Daniel Alejandro Torres Rojas,Adrián Marín Gómez,103,Tactical
9ebb1033-e975-4927-9072-194ffbb7d9c5,19,Substitution,3749196,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,Dennis Bergkamp,103,Tactical
6659905d-6ebf-4805-b055-bfd2888ac155,19,Substitution,3749448,2003/2004,Premier League,Arsenal,Robert Pirès,Eduardo César Daude Gaspar,103,Tactical
d1491210-7123-4b57-b1e5-ec1e7a8ff27f,19,Substitution,3749528,2003/2004,Premier League,Newcastle United,Lee Bowyer,Gary Speed,103,Tactical
c0a6a6af-ccf1-42ab-a76b-ace4d64d6301,19,Substitution,3773586,2020/2021,La Liga,Granada,Yan Brice Eteki,Maxime Gonalons,103,Tactical
2d7bc3d9-cbb1-4d6e-8f37-d42fef4e092a,19,Substitution,15998,2018/2019,La Liga,Leganés,Nabil El Zhar,Allan Romeo Nyom,103,Tactical
2ab6b2ca-5e8b-4b3b-9b25-227ca3a612b6,19,Substitution,15946,2018/2019,La Liga,Deportivo Alavés,Jonathan Rodríguez Menéndez,Borja González Tomás,103,Tactical
b449c7c7-9607-4cbf-a081-6b9b85cee3a0,19,Substitution,3749403,2003/2004,Premier League,Arsenal,Robert Pirès,Pascal Cygan,103,Tactical
d8a5eb6b-d321-4d06-ab1a-bbc05cab9348,19,Substitution,15956,2018/2019,La Liga,Real Valladolid,Enes Ünal,Duje Čop,103,Tactical
4e4d9182-a54e-4f01-877a-3bfb57fc6a1a,19,Substitution,3773586,2020/2021,La Liga,Granada,Roberto Soldado Rillo,Jorge Molina Vidal,103,Tactical
94672766-6e76-4474-8b1a-2abd51ea38f8,19,Substitution,16231,2018/2019,La Liga,Espanyol,Víctor Sánchez Mata,Alfa Semedo Esteves,103,Tactical
4b763ec1-261c-4094-95ad-a5d0fbcb12d2,19,Substitution,3749246,2003/2004,Premier League,Arsenal,Robert Pirès,Dennis Bergkamp,103,Tactical
22a3ec53-75dd-4539-8e2b-d2e5269bab6f,19,Substitution,3773631,2020/2021,La Liga,Barcelona,Ricard Puig Martí,Lionel Andrés Messi Cuccittini,103,Tactical
8fb7016a-24d6-411f-a77d-bbe7d88b97fd,19,Substitution,303524,2019/2020,La Liga,Atlético Madrid,Ángel Martín Correa,Thomas Lemar,103,Tactical
bb039e22-8377-43e2-a550-8225fb1a38c9,19,Substitution,303473,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,Ivan Rakitić,103,Tactical
