event_id,id,name,match_id,season,competition,team,player,overrun,nutmeg,outcome_id,outcome_name,no_touch
430de271-b946-4f8a-85d5-9332ee241245,14,Dribble,3749296,2003/2004,Premier League,Portsmouth,Amdy Moustapha Faye,True,False,9,Incomplete,False
b65eb88c-df59-465b-aa16-6db099f74f8d,14,Dribble,16248,2018/2019,La Liga,Atlético Madrid,Diego da Silva Costa,False,False,9,Incomplete,False
34c00ec8-1e75-4277-a0bb-52abe70842cf,14,Dribble,3749603,2003/2004,Premier League,Fulham,Carlos Manuel Bocanegra,True,False,9,Incomplete,False
0b2965af-cdcb-4d4e-ba10-f568ec12fc6a,14,Dribble,3773415,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
3b296651-ed6d-4328-8561-7c1480e7a43d,14,Dribble,16010,2018/2019,La Liga,Barcelona,Ousmane Dembélé,False,False,9,Incomplete,False
f2c05736-1d98-4c18-9606-d3213fc77538,14,Dribble,3749603,2003/2004,Premier League,Arsenal,José Antonio Reyes Calderón,False,False,8,Complete,False
ce56adf3-ad8e-423d-a71d-a0328a120b70,14,Dribble,3749631,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,8,Complete,False
9124ac9e-2bf7-406f-bdb2-8469579033e2,14,Dribble,16196,2018/2019,La Liga,Real Madrid,Vinícius José Paixão de Oliveira Júnior,False,False,8,Complete,False
b830aa36-0408-452f-98ed-8ecefeb4b7f3,14,Dribble,3749257,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,9,Incomplete,False
acb6dcc0-c3f5-4036-8b6d-e2406292226d,14,Dribble,16196,2018/2019,La Liga,Real Madrid,Luka Modrić,False,False,9,Incomplete,False
d6feae27-da93-4ca0-85c5-19b1ca7ae1f8,14,Dribble,16231,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,8,Complete,False
15e493b4-e17c-424a-8dc5-9f48d01ab580,14,Dribble,303504,2019/2020,La Liga,Levante UD,Rubén Rochina Naixes,False,False,8,Complete,False
b965283d-3c0c-4a6d-b835-64f8df9cdbfa,14,Dribble,3749117,2003/2004,Premier League,Arsenal,Robert Pirès,False,False,8,Complete,False
3d61e90a-a12a-482a-958c-912d00ad2958,14,Dribble,3773474,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,False,False,9,Incomplete,False
4ced13cc-3be6-4a0e-b1f7-5b5e318bda37,14,Dribble,16079,2018/2019,La Liga,Villarreal,Pablo Fornals Malla,False,False,8,Complete,False
047d5c42-48cb-477a-a063-0b1a08742bcc,14,Dribble,15973,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,9,Incomplete,False
1bd90c51-8487-4e50-acc3-d3423dbf421a,14,Dribble,3749117,2003/2004,Premier League,Arsenal,Robert Pirès,False,True,9,Incomplete,False
