event_id,id,name,match_id,season,competition,team,player,offensive,failure
12b2c317-87e9-45ec-88dd-b8cc23ea4b2c,2,Ball Recovery,16317,2018/2019,La Liga,Barcelona,Ivan Rakitić,False,False
addd3abe-1336-4b0e-ba43-9d91fc7a9a2c,2,Ball Recovery,3773665,2020/2021,La Liga,Osasuna,Sergio Herrera Pirón,False,False
97132740-75fe-4288-91ca-50ce4d543263,2,Ball Recovery,303725,2019/2020,La Liga,Villarreal,Vicente Iborra De La Fuente,False,False
0b32ee0a-27c9-415a-868c-46b45afab4be,2,Ball Recovery,3749068,2003/2004,Premier League,Tottenham Hotspur,Frédéric Oumar Kanouté,False,False
fc6d2ea3-7e14-40b1-9123-3febcae1e61a,2,Ball Recovery,16275,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu,False,False
3418028a-0233-4dd5-afff-bcc944d3e60c,2,Ball Recovery,3749358,2003/2004,Premier League,Arsenal,Ashley Cole,False,True
0c7502d0-a29b-449b-8718-d6446ff50517,2,Ball Recovery,15956,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
64ebec73-9f4d-403a-8f4e-b4ed188de0ca,2,Ball Recovery,303430,2019/2020,La Liga,Villarreal,Xavier Quintillà Guasch,False,False
5f97f6a0-d33a-4b18-81b5-f3d6a765a3fc,2,Ball Recovery,303666,2019/2020,La Liga,Granada,José Antonio Rodríguez Díaz,False,False
b24f0bf7-c2fc-4bf1-baa8-17494bc64d0d,2,Ball Recovery,3749603,2003/2004,Premier League,Fulham,Moritz Volz,False,False
494a241f-d6b0-49e0-b721-9bd967ccd95f,2,Ball Recovery,303674,2019/2020,La Liga,Sevilla,Diego Carlos Santos Silva,False,True
72ae4f5b-d74f-412f-b6db-2bbf81a2e57a,2,Ball Recovery,3749253,2003/2004,Premier League,Arsenal,Ashley Cole,False,False
cdb0fab5-f97b-43a8-b175-e5734d71a412,2,Ball Recovery,3749358,2003/2004,Premier League,Middlesbrough,Szilárd Németh,False,False
775fbcc9-df1d-4249-a006-61e62c5d1547,2,Ball Recovery,303674,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
4913b8be-7643-4f8e-93ea-775419a77b51,2,Ball Recovery,3749274,2003/2004,Premier League,Arsenal,Ray Parlour,False,False
3fbe3e42-90ff-4b3f-ae1b-e2d80bfe2a91,2,Ball Recovery,3773593,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,False
a87dce40-3048-42af-a1c3-040729dc260e,2,Ball Recovery,303516,2019/2020,La Liga,Celta Vigo,Okay Yokuşlu,False,False
efebd433-863b-4a8a-812b-6daadde6f227,2,Ball Recovery,303516,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,False
c11d6e14-f155-4bc7-90fa-23a6177567e5,2,Ball Recovery,303634,2019/2020,La Liga,Osasuna,Sergio Herrera Pirón,False,False
102e2029-b81f-4e43-a7ff-a2175fd860bc,2,Ball Recovery,3773415,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,False,False
451a97cd-7a83-4800-b6bf-841da7078908,2,Ball Recovery,303430,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,False
00bd2df3-ef10-4647-869a-9a5b9c2060d2,2,Ball Recovery,303634,2019/2020,La Liga,Barcelona,Clément Lenglet,False,False
e3e28fbb-d518-4e84-baa6-b55844b907bd,2,Ball Recovery,16029,2018/2019,La Liga,Barcelona,Ivan Rakitić,False,False
097cd7bc-35df-414b-bde5-3701bf7fecd4,2,Ball Recovery,3749253,2003/2004,Premier League,Liverpool,Anthony Le Tallec,False,False
88d09f6f-a039-4a02-b770-7b23e2ff54cd,2,Ball Recovery,3749528,2003/2004,Premier League,Arsenal,Sylvain Wiltord,False,False
7d90b1f8-da72-4e1a-9ce6-d11413409ecb,2,Ball Recovery,15986,2018/2019,La Liga,Girona,Alejandro Granell Nogué,False,False
ca4c3023-8b3f-4760-b024-db1e8b23b113,2,Ball Recovery,15956,2018/2019,La Liga,Real Valladolid,Jordi Masip López,False,False
ebcaf028-1595-45fa-be00-173b21391ffe,2,Ball Recovery,15956,2018/2019,La Liga,Real Valladolid,Óscar Plano Pedreño,False,False
cf3d726b-de90-4e12-9d45-caf5d5cfede6,2,Ball Recovery,3773474,2020/2021,La Liga,Barcelona,Pedro González López,False,False
020a927b-5196-453c-b294-f01226d86f31,2,Ball Recovery,3773387,2020/2021,La Liga,Levante UD,Antonio García Aranda,False,False
25075c25-70bc-448e-9a45-d5492605fced,2,Ball Recovery,303700,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,True
18a07228-d84f-454c-93ca-b6a361328711,2,Ball Recovery,303700,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,False
4e9f5433-b4a7-40d9-b988-75ccfeb74148,2,Ball Recovery,303652,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False
5a3a5d13-ef3c-4e17-a95d-75b3583d47ab,2,Ball Recovery,3749346,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,False
8a656c91-8e31-4e72-9dd2-5191d25beb70,2,Ball Recovery,303516,2019/2020,La Liga,Celta Vigo,Fyodor Smolov,False,False
5f67cbca-5aae-4d3d-aabd-2abf998ea373,2,Ball Recovery,303652,2019/2020,La Liga,Barcelona,Antoine Griezmann,False,False
fdd6fe42-110d-4752-8e81-caf934832b75,2,Ball Recovery,3749358,2003/2004,Premier League,Middlesbrough,Szilárd Németh,False,False
